Code,Product Name,Batch Number,Valid,Created At,Last Verified At,Verification Count
"K7M2P9X4","Herblix Herbal Tea","BATCH-2024-001","Yes","2026-07-08T08:57:00.000Z","","0"
"R5N8Q3J6","Herblix Herbal Tea","BATCH-2024-001","Yes","2026-07-08T08:57:00.000Z","","0"
"D4L9V2W7","Herblix Natural Cream","BATCH-2024-002","Yes","2026-07-08T08:57:00.000Z","2026-07-08T13:19:30.000Z","1"
"T6H1M8K3","Herblix Natural Cream","BATCH-2024-002","Yes","2026-07-08T08:57:00.000Z","","0"
"B9F2X5R8","Herblix Organic Oil","BATCH-2024-003","Yes","2026-07-08T08:57:00.000Z","2026-07-08T08:59:34.000Z","1"
"C3P7N4J9","Herblix Organic Oil","BATCH-2024-003","Yes","2026-07-08T08:57:00.000Z","","0"
"G6S1V8L2","Herblix Vitamin C","BATCH-2024-004","Yes","2026-07-08T08:57:00.000Z","","0"
"Z4W7K9M5","Herblix Vitamin C","BATCH-2024-004","Yes","2026-07-08T08:57:00.000Z","","0"
"A2K5L8N1","Herblix Herbal Tea","BATCH-2024-001","Yes","2026-07-09T09:22:58.000Z","","0"
"P3Q6R9S2","Herblix Herbal Tea","BATCH-2024-001","Yes","2026-07-09T09:22:58.000Z","","0"
"T4U7V0W1","Herblix Natural Cream","BATCH-2024-002","Yes","2026-07-09T09:22:58.000Z","","0"
"X5Y8Z1A2","Herblix Natural Cream","BATCH-2024-002","Yes","2026-07-09T09:22:58.000Z","","0"
"B3C6D9E2","Herblix Organic Oil","BATCH-2024-003","Yes","2026-07-09T09:22:58.000Z","","0"
"F4G7H0I1","Herblix Organic Oil","BATCH-2024-003","Yes","2026-07-09T09:22:58.000Z","","0"
"J5K8L1M2","Herblix Vitamin C","BATCH-2024-004","Yes","2026-07-09T09:22:58.000Z","","0"
"N3O6P9Q2","Herblix Vitamin C","BATCH-2024-004","Yes","2026-07-09T09:22:58.000Z","","0"
"R4S7T0U1","Herblix Ginger Root","BATCH-2024-005","Yes","2026-07-09T09:22:58.000Z","","0"
"V5W8X1Y2","Herblix Ginger Root","BATCH-2024-005","Yes","2026-07-09T09:22:58.000Z","","0"
"Z3A6B9C2","Herblix Turmeric","BATCH-2024-006","Yes","2026-07-09T09:22:58.000Z","","0"
"D4E7F0G1","Herblix Turmeric","BATCH-2024-006","Yes","2026-07-09T09:22:58.000Z","","0"
"H5I8J1K2","Herblix Echinacea","BATCH-2024-007","Yes","2026-07-09T09:22:58.000Z","","0"
"L3M6N9O2","Herblix Echinacea","BATCH-2024-007","Yes","2026-07-09T09:22:58.000Z","","0"
"P4Q7R0S1","Herblix Garlic Extract","BATCH-2024-008","Yes","2026-07-09T09:22:58.000Z","","0"
"T5U8V1W2","Herblix Garlic Extract","BATCH-2024-008","Yes","2026-07-09T09:22:58.000Z","","0"
"X3Y6Z9A2","Herblix Ginseng","BATCH-2024-009","Yes","2026-07-09T09:22:58.000Z","","0"
"B4C7D0E1","Herblix Ginseng","BATCH-2024-009","Yes","2026-07-09T09:22:58.000Z","","0"
"F5G8H1I2","Herblix Honey Blend","BATCH-2024-010","Yes","2026-07-09T09:22:58.000Z","","0"
"J3K6L9M2","Herblix Honey Blend","BATCH-2024-010","Yes","2026-07-09T09:22:58.000Z","","0"
"YEYAJ9RK","Herblix Ginseng","BATCH-2024-005","Yes","2026-07-09T09:23:47.000Z","","0"
"RVKSE7FA","Herblix Organic Oil","BATCH-2024-006","Yes","2026-07-09T09:23:47.000Z","","0"
"06YERE69","Herblix Vitamin C","BATCH-2024-010","Yes","2026-07-09T09:23:47.000Z","","0"
"4ZIHO087","Herblix Lavender Oil","BATCH-2024-002","Yes","2026-07-09T09:23:47.000Z","","0"
"8J7JV26C","Herblix Vitamin C","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"3YV4KYB2","Herblix Turmeric","BATCH-2024-008","Yes","2026-07-09T09:23:47.000Z","","0"
"U7QZC62Q","Herblix Garlic Extract","BATCH-2024-009","Yes","2026-07-09T09:23:47.000Z","","0"
"Z61HGTD3","Herblix Natural Cream","BATCH-2024-007","Yes","2026-07-09T09:23:47.000Z","","0"
"WTNNBD0G","Herblix Peppermint Tea","BATCH-2024-007","Yes","2026-07-09T09:23:47.000Z","","0"
"DSRXU1IJ","Herblix Natural Cream","BATCH-2024-005","Yes","2026-07-09T09:23:47.000Z","","0"
"8A0NPE7S","Herblix Organic Oil","BATCH-2024-009","Yes","2026-07-09T09:23:47.000Z","","0"
"9D6XYJ0Q","Herblix Peppermint Tea","BATCH-2024-003","Yes","2026-07-09T09:23:47.000Z","","0"
"G3SHPDK0","Herblix Organic Oil","BATCH-2024-002","Yes","2026-07-09T09:23:47.000Z","","0"
"MANX9F5D","Herblix Aloe Vera","BATCH-2024-009","Yes","2026-07-09T09:23:47.000Z","","0"
"YMBC806S","Herblix Rose Hip","BATCH-2024-010","Yes","2026-07-09T09:23:47.000Z","","0"
"F2WXNSPP","Herblix Vitamin C","BATCH-2024-009","Yes","2026-07-09T09:23:47.000Z","","0"
"ADO2AKCB","Herblix Ginger Root","BATCH-2024-004","Yes","2026-07-09T09:23:47.000Z","","0"
"KQHRVADN","Herblix Herbal Tea","BATCH-2024-010","Yes","2026-07-09T09:23:47.000Z","","0"
"QGJ1U5RA","Herblix Rose Hip","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"LBND6W1Z","Herblix Honey Blend","BATCH-2024-008","Yes","2026-07-09T09:23:47.000Z","","0"
"8O4XJOJU","Herblix Honey Blend","BATCH-2024-006","Yes","2026-07-09T09:23:47.000Z","","0"
"67GQAV1W","Herblix Vitamin C","BATCH-2024-003","Yes","2026-07-09T09:23:47.000Z","","0"
"MJZOIGF2","Herblix Garlic Extract","BATCH-2024-009","Yes","2026-07-09T09:23:47.000Z","","0"
"KQC62IUF","Herblix Herbal Tea","BATCH-2024-002","Yes","2026-07-09T09:23:47.000Z","","0"
"PNB83Z5L","Herblix Aloe Vera","BATCH-2024-007","Yes","2026-07-09T09:23:47.000Z","","0"
"Y57HV5WL","Herblix Natural Cream","BATCH-2024-007","Yes","2026-07-09T09:23:47.000Z","","0"
"FRQHZI8U","Herblix Rose Hip","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"VUDWGR6A","Herblix Honey Blend","BATCH-2024-006","Yes","2026-07-09T09:23:47.000Z","","0"
"Z70AEX5K","Herblix Ginger Root","BATCH-2024-003","Yes","2026-07-09T09:23:47.000Z","","0"
"NSL445UO","Herblix Aloe Vera","BATCH-2024-006","Yes","2026-07-09T09:23:47.000Z","","0"
"O3TM2FPF","Herblix Natural Cream","BATCH-2024-002","Yes","2026-07-09T09:23:47.000Z","","0"
"CKQ5GVZ7","Herblix Peppermint Tea","BATCH-2024-005","Yes","2026-07-09T09:23:47.000Z","","0"
"F2W17Q3Z","Herblix Garlic Extract","BATCH-2024-008","Yes","2026-07-09T09:23:47.000Z","","0"
"VB9FFHLV","Herblix Chamomile","BATCH-2024-009","Yes","2026-07-09T09:23:47.000Z","","0"
"O576KN8R","Herblix Echinacea","BATCH-2024-010","Yes","2026-07-09T09:23:47.000Z","","0"
"X28YKNDQ","Herblix Herbal Tea","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"2PS5A999","Herblix Vitamin C","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"3PZ820WJ","Herblix Rose Hip","BATCH-2024-004","Yes","2026-07-09T09:23:47.000Z","","0"
"66C6IR54","Herblix Ginseng","BATCH-2024-006","Yes","2026-07-09T09:23:47.000Z","","0"
"7GU2B6BX","Herblix Turmeric","BATCH-2024-004","Yes","2026-07-09T09:23:47.000Z","","0"
"L6C53C67","Herblix Organic Oil","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"WZ8A5DK8","Herblix Ginseng","BATCH-2024-001","Yes","2026-07-09T09:23:47.000Z","","0"
"1QIXCYS1","Herblix Chamomile","BATCH-2024-002","Yes","2026-07-09T09:23:47.000Z","","0"
"1PFN4RFL","Herblix Honey Blend","BATCH-2024-002","Yes","2026-07-09T09:23:47.000Z","","0"
"5NXI0HC8","Herblix Herbal Tea","BATCH-2024-008","Yes","2026-07-09T09:23:47.000Z","","0"
"AMWA3E0Q","Herblix Aloe Vera","BATCH-2024-008","Yes","2026-07-09T09:23:47.000Z","","0"
"9OKJFXNA","Herblix Chamomile","BATCH-2024-004","Yes","2026-07-09T09:23:47.000Z","","0"
"TGDYO7C9","Herblix Ginger Root","BATCH-2024-008","Yes","2026-07-09T09:23:47.000Z","","0"
